
X1=1.76, Y1=1.72, Z1=-3.86, A1=-6.51, B1=0.31, C1=7.68, M1=138.00, N1=-331.50, O1=-333.00 L2=26.370, I2=26.375,  Status = ON
X1=-1.09, Y1=9.33, Z1=-13.58, A1=-8.77, B1=-1.67, C1=6.98, M1=135.00, N1=-334.50, O1=-334.50 L2=26.358, I2=26.500,  Status = ON
X1=-15.62, Y1=32.05, Z1=-144.62, A1=-9.81, B1=-3.56, C1=6.83, M1=117.00, N1=-334.50, O1=-336.00 L2=26.471, I2=26.500,  Status = ON
X1=-51.89, Y1=37.87, Z1=-184.42, A1=-7.06, B1=-3.78, C1=7.19, M1=82.50, N1=-333.00, O1=-346.50 L2=26.416, I2=26.500,  Status = ON
X1=-90.19, Y1=26.10, Z1=-143.68, A1=-3.70, B1=-1.57, C1=7.40, M1=39.00, N1=-321.00, O1=-367.50 L2=26.444, I2=26.500,  Status = ON
X1=-95.78, Y1=0.03, Z1=-28.74, A1=-6.18, B1=-2.00, C1=6.47, M1=10.50, N1=-291.00, O1=-385.50 L2=26.491, I2=26.500,  Status = ON
X1=-86.84, Y1=-7.09, Z1=-116.62, A1=-9.28, B1=-2.60, C1=7.79, M1=4.50, N1=-265.50, O1=-402.00 L2=26.409, I2=26.500,  Status = ON
X1=-70.17, Y1=-17.60, Z1=-266.43, A1=-5.76, B1=-0.66, C1=11.76, M1=-13.50, N1=-237.00, O1=-420.00 L2=26.405, I2=26.500,  Status = ON
X1=-31.57, Y1=-23.45, Z1=-124.26, A1=-9.47, B1=-5.65, C1=5.07, M1=-39.00, N1=-210.00, O1=-436.50 L2=26.299, I2=26.375,  Status = ON
X1=-31.75, Y1=-14.16, Z1=-211.14, A1=-0.46, B1=-7.51, C1=5.49, M1=-58.50, N1=-190.50, O1=-439.50 L2=26.452, I2=26.375,  Status = ON
X1=-40.35, Y1=-48.11, Z1=5.93, A1=0.76, B1=-6.61, C1=5.26, M1=-60.00, N1=-174.00, O1=-444.00 L2=26.413, I2=26.500,  Status = ON
X1=-16.14, Y1=-110.93, Z1=-183.37, A1=0.84, B1=-2.86, C1=7.78, M1=64.50, N1=-136.50, O1=-451.50 L2=26.327, I2=26.375,  Status = ON
X1=-3.26, Y1=-124.77, Z1=-1.94, A1=-5.93, B1=-9.79, C1=12.09, M1=108.00, N1=-132.00, O1=-441.00 L2=26.327, I2=26.500,  Status = ON
X1=-16.39, Y1=-88.36, Z1=37.76, A1=-6.94, B1=-10.30, C1=12.91, M1=148.50, N1=-127.50, O1=-426.00 L2=26.315, I2=26.500,  Status = ON
X1=-25.73, Y1=-17.57, Z1=-90.61, A1=-8.28, B1=-9.74, C1=7.50, M1=172.50, N1=-124.50, O1=-423.00 L2=26.432, I2=26.500,  Status = ON
X1=-25.64, Y1=9.48, Z1=-176.54, A1=0.07, B1=-8.43, C1=4.02, M1=169.50, N1=-126.00, O1=-429.00 L2=26.510, I2=26.500,  Status = ON
X1=-33.81, Y1=6.44, Z1=-85.70, A1=2.35, B1=-6.31, C1=1.24, M1=159.00, N1=-129.00, O1=-432.00 L2=26.338, I2=26.500,  Status = ON
X1=-14.60, Y1=4.66, Z1=-57.30, A1=-1.78, B1=-7.65, C1=2.21, M1=154.50, N1=-129.00, O1=-432.00 L2=26.405, I2=26.500,  Status = ON
X1=0.13, Y1=12.61, Z1=-111.89, A1=1.91, B1=-9.49, C1=5.51, M1=148.50, N1=-126.00, O1=-429.00 L2=26.413, I2=26.500,  Status = ON
X1=-17.10, Y1=16.13, Z1=-98.27, A1=2.14, B1=-9.03, C1=6.25, M1=141.00, N1=-136.50, O1=-430.50 L2=26.377, I2=26.500,  Status = ON
X1=-24.41, Y1=7.80, Z1=-57.83, A1=5.12, B1=-7.35, C1=6.83, M1=136.50, N1=-144.00, O1=-441.00 L2=26.455, I2=26.500,  Status = ON
X1=-22.59, Y1=-2.90, Z1=-43.30, A1=4.55, B1=-6.82, C1=5.59, M1=136.50, N1=-141.00, O1=-442.50 L2=26.327, I2=26.500,  Status = ON
X1=14.39, Y1=-36.05, Z1=38.65, A1=8.59, B1=-7.78, C1=6.26, M1=142.50, N1=-130.50, O1=-435.00 L2=26.342, I2=26.500,  Status = ON
X1=-10.99, Y1=-59.06, Z1=106.59, A1=2.22, B1=-9.92, C1=7.44, M1=162.00, N1=-124.50, O1=-427.50 L2=26.338, I2=26.500,  Status = ON
X1=-9.91, Y1=-66.50, Z1=-12.05, A1=4.56, B1=-10.20, C1=8.79, M1=186.00, N1=-123.00, O1=-421.50 L2=26.463, I2=26.500,  Status = ON
X1=-22.69, Y1=-74.79, Z1=-18.69, A1=3.32, B1=-10.50, C1=7.65, M1=199.50, N1=-112.50, O1=-412.50 L2=26.358, I2=26.500,  Status = ON
X1=-31.23, Y1=-69.23, Z1=1.18, A1=1.47, B1=-7.34, C1=4.19, M1=214.50, N1=-99.00, O1=-403.50 L2=26.350, I2=26.500,  Status = ON
X1=-24.38, Y1=-47.31, Z1=10.44, A1=0.48, B1=-8.37, C1=2.95, M1=229.50, N1=-90.00, O1=-397.50 L2=26.420, I2=26.500,  Status = ON
X1=-15.07, Y1=-30.72, Z1=-39.49, A1=4.06, B1=-8.23, C1=3.79, M1=235.50, N1=-82.50, O1=-394.50 L2=26.366, I2=26.500,  Status = ON
X1=-13.27, Y1=-33.64, Z1=-16.42, A1=5.49, B1=-7.43, C1=3.25, M1=243.00, N1=-81.00, O1=-393.00 L2=26.389, I2=26.500,  Status = ON
X1=-10.53, Y1=-31.83, Z1=12.85, A1=2.85, B1=-7.61, C1=2.10, M1=250.50, N1=-73.50, O1=-387.00 L2=26.389, I2=26.500,  Status = ON
X1=-0.92, Y1=-23.69, Z1=-0.09, A1=1.83, B1=-8.46, C1=1.50, M1=258.00, N1=-66.00, O1=-379.50 L2=26.295, I2=26.500,  Status = ON
X1=3.65, Y1=-15.98, Z1=-11.51, A1=2.40, B1=-9.75, C1=2.06, M1=262.50, N1=-66.00, O1=-379.50 L2=26.495, I2=26.500,  Status = ON
X1=0.28, Y1=-10.19, Z1=-8.89, A1=3.52, B1=-9.74, C1=1.82, M1=267.00, N1=-63.00, O1=-373.50 L2=26.327, I2=26.500,  Status = ON
X1=-0.31, Y1=-6.28, Z1=-16.16, A1=3.69, B1=-8.98, C1=1.77, M1=268.50, N1=-63.00, O1=-372.00 L2=26.475, I2=26.500,  Status = ON
X1=1.59, Y1=-6.72, Z1=7.91, A1=3.28, B1=-8.77, C1=1.65, M1=268.50, N1=-58.50, O1=-375.00 L2=26.330, I2=26.375,  Status = ON
X1=1.75, Y1=-9.56, Z1=26.00, A1=2.62, B1=-9.66, C1=2.13, M1=270.00, N1=-42.00, O1=-372.00 L2=26.510, I2=26.500,  Status = ON
X1=1.37, Y1=-8.29, Z1=14.72, A1=3.42, B1=-9.21, C1=1.98, M1=270.00, N1=-36.00, O1=-367.50 L2=26.319, I2=26.500,  Status = ON
X1=1.91, Y1=-5.01, Z1=13.29, A1=2.73, B1=-9.35, C1=1.73, M1=273.00, N1=-43.50, O1=-366.00 L2=26.291, I2=26.500,  Status = ON
X1=3.28, Y1=-12.70, Z1=25.15, A1=2.54, B1=-9.86, C1=2.07, M1=277.50, N1=-37.50, O1=-364.50 L2=26.498, I2=26.625,  Status = ON
X1=-4.83, Y1=-3.51, Z1=22.57, A1=3.13, B1=-8.92, C1=1.46, M1=279.00, N1=-33.00, O1=-363.00 L2=26.315, I2=26.625,  Status = ON
X1=2.96, Y1=-12.84, Z1=31.58, A1=2.87, B1=-9.63, C1=1.78, M1=279.00, N1=-27.00, O1=-367.50 L2=26.510, I2=26.500,  Status = ON
X1=-2.62, Y1=-5.34, Z1=33.60, A1=1.89, B1=-9.53, C1=1.74, M1=279.00, N1=-12.00, O1=-367.50 L2=26.459, I2=26.500,  Status = ON
X1=7.88, Y1=-6.59, Z1=2.18, A1=1.59, B1=-9.53, C1=1.96, M1=280.50, N1=-1.50, O1=-364.50 L2=26.401, I2=26.500,  Status = ON
X1=18.00, Y1=-9.42, Z1=8.50, A1=3.13, B1=-9.99, C1=1.89, M1=282.00, N1=-3.00, O1=-363.00 L2=26.444, I2=26.500,  Status = ON
X1=8.64, Y1=-29.45, Z1=10.27, A1=2.45, B1=-9.25, C1=1.91, M1=285.00, N1=-4.50, O1=-355.50 L2=26.342, I2=26.500,  Status = ON
X1=17.03, Y1=-33.16, Z1=15.75, A1=2.15, B1=-8.83, C1=1.89, M1=289.50, N1=9.00, O1=-352.50 L2=26.362, I2=26.625,  Status = ON
X1=16.92, Y1=-10.06, Z1=11.21, A1=2.29, B1=-9.41, C1=2.43, M1=295.50, N1=7.50, O1=-349.50 L2=26.436, I2=26.500,  Status = ON
