
X1=-0.59, Y1=-5.15, Z1=-51.42, A1=1.23, B1=-9.75, C1=0.30, M1=387.00, N1=120.00, O1=-67.50 L2=26.760, I2=26.625,  Status = ON
X1=-0.25, Y1=-5.92, Z1=-50.96, A1=0.43, B1=-9.90, C1=0.18, M1=394.50, N1=111.00, O1=-64.50 L2=26.748, I2=26.875,  Status = ON
X1=6.38, Y1=-7.05, Z1=-50.78, A1=0.39, B1=-9.79, C1=0.46, M1=396.00, N1=96.00, O1=-63.00 L2=26.702, I2=27.000,  Status = ON
X1=7.20, Y1=-5.63, Z1=-39.67, A1=0.90, B1=-9.98, C1=1.26, M1=402.00, N1=79.50, O1=-63.00 L2=26.725, I2=27.000,  Status = ON
X1=3.12, Y1=-4.80, Z1=-59.53, A1=1.53, B1=-10.12, C1=1.50, M1=405.00, N1=67.50, O1=-61.50 L2=26.690, I2=26.750,  Status = ON
X1=0.10, Y1=-4.80, Z1=-27.82, A1=0.50, B1=-10.71, C1=1.87, M1=408.00, N1=57.00, O1=-58.50 L2=26.729, I2=26.750,  Status = ON
X1=-6.20, Y1=-3.81, Z1=-48.76, A1=1.92, B1=-10.30, C1=1.63, M1=412.50, N1=43.50, O1=-54.00 L2=26.799, I2=26.625,  Status = ON
X1=-10.85, Y1=-2.93, Z1=-54.28, A1=1.55, B1=-10.72, C1=1.44, M1=421.50, N1=28.50, O1=-54.00 L2=26.873, I2=26.750,  Status = ON
X1=-16.13, Y1=-4.36, Z1=-61.07, A1=2.57, B1=-10.86, C1=1.31, M1=423.00, N1=13.50, O1=-49.50 L2=26.741, I2=26.750,  Status = ON
X1=-23.27, Y1=-9.20, Z1=-52.50, A1=4.42, B1=-10.29, C1=1.59, M1=429.00, N1=-4.50, O1=-46.50 L2=26.705, I2=27.250,  Status = ON
X1=-31.25, Y1=-19.70, Z1=-16.41, A1=3.66, B1=-10.17, C1=1.17, M1=430.50, N1=-13.50, O1=-42.00 L2=26.752, I2=27.000,  Status = ON
X1=-34.97, Y1=-26.05, Z1=-1.58, A1=3.82, B1=-8.34, C1=0.38, M1=426.00, N1=-13.50, O1=-34.50 L2=26.733, I2=26.625,  Status = ON
X1=-29.20, Y1=-35.50, Z1=25.53, A1=0.70, B1=-8.73, C1=-1.23, M1=426.00, N1=-7.50, O1=-28.50 L2=26.768, I2=26.750,  Status = ON
X1=-1.78, Y1=-35.86, Z1=9.64, A1=1.61, B1=-8.79, C1=-1.39, M1=426.00, N1=1.50, O1=-16.50 L2=26.721, I2=26.875,  Status = ON
X1=2.52, Y1=-15.80, Z1=1.14, A1=2.12, B1=-9.70, C1=-0.13, M1=430.50, N1=7.50, O1=-4.50 L2=26.674, I2=26.875,  Status = ON
X1=-21.68, Y1=-11.08, Z1=22.97, A1=2.99, B1=-8.98, C1=-0.44, M1=427.50, N1=15.00, O1=6.00 L2=26.725, I2=27.000,  Status = ON
X1=-6.72, Y1=34.43, Z1=21.07, A1=2.09, B1=-8.24, C1=-0.47, M1=423.00, N1=22.50, O1=3.00 L2=26.709, I2=26.875,  Status = ON
X1=-2.05, Y1=-13.76, Z1=8.78, A1=1.54, B1=-9.01, C1=-2.13, M1=421.50, N1=27.00, O1=1.50 L2=26.764, I2=26.875,  Status = ON
X1=-6.89, Y1=-5.91, Z1=0.84, A1=1.68, B1=-8.64, C1=-1.64, M1=420.00, N1=28.50, O1=4.50 L2=26.713, I2=26.875,  Status = ON
X1=4.07, Y1=4.52, Z1=-9.08, A1=1.50, B1=-9.33, C1=-1.29, M1=421.50, N1=27.00, O1=3.00 L2=26.725, I2=27.250,  Status = ON
X1=1.47, Y1=1.48, Z1=6.07, A1=1.83, B1=-9.33, C1=-1.35, M1=418.50, N1=33.00, O1=4.50 L2=26.709, I2=26.875,  Status = ON
X1=1.66, Y1=-3.31, Z1=-6.29, A1=1.68, B1=-9.49, C1=-1.47, M1=417.00, N1=34.50, O1=1.50 L2=26.690, I2=26.875,  Status = ON
X1=6.12, Y1=-9.37, Z1=-9.73, A1=2.02, B1=-10.06, C1=-1.13, M1=418.50, N1=30.00, O1=4.50 L2=26.741, I2=27.000,  Status = ON
X1=-2.55, Y1=-24.64, Z1=-3.26, A1=1.84, B1=-10.15, C1=-1.71, M1=417.00, N1=33.00, O1=16.50 L2=26.811, I2=26.750,  Status = ON
