
X1=-11.49, Y1=62.40, Z1=4.84, A1=6.68, B1=-7.90, C1=-4.95, M1=429.00, N1=-85.50, O1=70.50 L2=26.698, I2=27.250,  Status = ON
X1=-9.55, Y1=-20.48, Z1=18.23, A1=6.88, B1=-10.54, C1=-6.62, M1=435.00, N1=-85.50, O1=57.00 L2=26.733, I2=27.000,  Status = ON
X1=-31.15, Y1=-25.80, Z1=-2.03, A1=3.13, B1=-10.06, C1=-6.13, M1=435.00, N1=-82.50, O1=58.50 L2=26.713, I2=27.000,  Status = ON
X1=-40.66, Y1=49.95, Z1=-12.27, A1=4.65, B1=-8.67, C1=-6.48, M1=430.50, N1=-87.00, O1=51.00 L2=26.682, I2=27.250,  Status = ON
X1=-26.31, Y1=16.08, Z1=-17.39, A1=1.84, B1=-8.65, C1=-4.24, M1=432.00, N1=-93.00, O1=39.00 L2=26.616, I2=26.875,  Status = ON
X1=-13.12, Y1=16.42, Z1=-31.54, A1=4.96, B1=-8.71, C1=-3.87, M1=430.50, N1=-99.00, O1=34.50 L2=26.756, I2=27.000,  Status = ON
X1=-19.60, Y1=-0.45, Z1=-9.15, A1=3.61, B1=-8.01, C1=-4.73, M1=427.50, N1=-105.00, O1=37.50 L2=26.666, I2=26.750,  Status = ON
X1=-9.01, Y1=-4.72, Z1=-15.12, A1=2.61, B1=-7.98, C1=-3.78, M1=429.00, N1=-105.00, O1=42.00 L2=26.694, I2=27.250,  Status = ON
X1=12.57, Y1=-2.56, Z1=-14.62, A1=4.65, B1=-8.99, C1=-3.52, M1=429.00, N1=-105.00, O1=39.00 L2=26.635, I2=26.750,  Status = ON
X1=-0.83, Y1=-16.11, Z1=36.10, A1=2.81, B1=-7.61, C1=-3.76, M1=432.00, N1=-96.00, O1=39.00 L2=26.635, I2=26.875,  Status = ON
X1=-4.76, Y1=-41.65, Z1=50.23, A1=1.54, B1=-7.81, C1=-4.21, M1=429.00, N1=-78.00, O1=43.50 L2=26.670, I2=26.750,  Status = ON
X1=-6.27, Y1=-9.71, Z1=20.50, A1=2.55, B1=-7.42, C1=-4.35, M1=427.50, N1=-60.00, O1=52.50 L2=26.639, I2=27.250,  Status = ON
X1=-15.43, Y1=6.47, Z1=8.81, A1=2.24, B1=-7.28, C1=-4.96, M1=423.00, N1=-57.00, O1=54.00 L2=26.702, I2=26.750,  Status = ON
X1=-10.64, Y1=23.10, Z1=-1.28, A1=2.60, B1=-7.51, C1=-5.33, M1=420.00, N1=-60.00, O1=52.50 L2=26.713, I2=27.000,  Status = ON
X1=2.37, Y1=9.02, Z1=-6.92, A1=3.84, B1=-6.71, C1=-5.31, M1=421.50, N1=-60.00, O1=46.50 L2=26.768, I2=26.625,  Status = ON
X1=-3.61, Y1=-9.27, Z1=16.34, A1=3.37, B1=-8.65, C1=-4.02, M1=427.50, N1=-52.50, O1=45.00 L2=26.686, I2=26.625,  Status = ON
X1=12.95, Y1=-10.80, Z1=16.97, A1=2.82, B1=-7.98, C1=-5.72, M1=429.00, N1=-45.00, O1=49.50 L2=26.729, I2=27.250,  Status = ON
X1=-19.23, Y1=-13.69, Z1=4.33, A1=3.61, B1=-8.16, C1=-5.53, M1=424.50, N1=-43.50, O1=52.50 L2=26.670, I2=26.750,  Status = ON
X1=-3.06, Y1=-16.83, Z1=7.04, A1=2.84, B1=-7.72, C1=-5.88, M1=421.50, N1=-42.00, O1=63.00 L2=26.795, I2=26.625,  Status = ON
X1=0.68, Y1=-18.36, Z1=6.33, A1=3.33, B1=-7.82, C1=-5.99, M1=420.00, N1=-34.50, O1=70.50 L2=26.612, I2=26.625,  Status = ON
X1=3.93, Y1=-15.34, Z1=-12.98, A1=2.52, B1=-7.98, C1=-5.57, M1=420.00, N1=-31.50, O1=73.50 L2=26.620, I2=26.750,  Status = ON
X1=-8.42, Y1=-9.77, Z1=-12.91, A1=2.56, B1=-7.53, C1=-5.74, M1=423.00, N1=-33.00, O1=79.50 L2=26.655, I2=26.875,  Sta
