
X1=-13.52, Y1=-5.60, Z1=15.67, A1=1.01, B1=-9.57, C1=-4.01, M1=204.00, N1=-51.00, O1=339.00 L2=26.838, I2=26.875,  Status = ON
X1=-12.16, Y1=-5.02, Z1=17.73, A1=1.20, B1=-8.82, C1=-3.94, M1=199.50, N1=-64.50, O1=337.50 L2=26.709, I2=27.250,  Status = ON
X1=-9.03, Y1=-4.81, Z1=-2.94, A1=1.47, B1=-9.19, C1=-3.89, M1=196.50, N1=-69.00, O1=340.50 L2=26.768, I2=26.750,  Status = ON
X1=-10.88, Y1=-4.45, Z1=16.00, A1=0.94, B1=-9.27, C1=-3.85, M1=190.50, N1=-58.50, O1=342.00 L2=26.678, I2=26.750,  Status = ON
X1=-11.01, Y1=-4.32, Z1=5.30, A1=1.34, B1=-9.10, C1=-3.96, M1=189.00, N1=-57.00, O1=340.50 L2=26.698, I2=26.750,  Status = ON
X1=8.27, Y1=-14.60, Z1=21.88, A1=0.84, B1=-9.32, C1=-3.74, M1=193.50, N1=-75.00, O1=343.50 L2=26.694, I2=26.750,  Status = ON
X1=18.59, Y1=-4.26, Z1=27.12, A1=0.39, B1=-9.26, C1=-3.21, M1=190.50, N1=-69.00, O1=345.00 L2=26.663, I2=26.750,  Status = ON
X1=-12.36, Y1=-5.94, Z1=3.32, A1=-0.30, B1=-9.41, C1=-4.14, M1=184.50, N1=-51.00, O1=345.00 L2=26.823, I2=26.875,  Status = ON
X1=-38.74, Y1=-3.82, Z1=-8.67, A1=-0.09, B1=-8.74, C1=-5.34, M1=186.00, N1=-52.50, O1=348.00 L2=26.678, I2=26.625,  Status = ON
X1=-54.35, Y1=12.01, Z1=1.23, A1=-0.38, B1=-7.82, C1=-7.89, M1=187.50, N1=-57.00, O1=349.50 L2=26.756, I2=27.000,  Status = ON
X1=-21.94, Y1=17.37, Z1=0.03, A1=0.23, B1=-8.36, C1=-5.43, M1=186.00, N1=-63.00, O1=346.50 L2=26.674, I2=26.750,  Status = ON
X1=2.33, Y1=2.18, Z1=4.76, A1=-0.06, B1=-8.89, C1=-4.50, M1=181.50, N1=-63.00, O1=346.50 L2=26.776, I2=26.750,  Status = ON
X1=6.43, Y1=2.82, Z1=-0.15, A1=-0.23, B1=-9.12, C1=-4.71, M1=186.00, N1=-61.50, O1=346.50 L2=26.827, I2=26.750,  Status = ON
X1=9.47, Y1=3.18, Z1=4.58, A1=0.07, B1=-9.42, C1=-3.86, M1=189.00, N1=-55.50, O1=346.50 L2=26.674, I2=26.750,  Status = ON
X1=3.44, Y1=5.28, Z1=4.19, A1=-0.15, B1=-9.57, C1=-4.31, M1=186.00, N1=-57.00, O1=345.00 L2=26.819, I2=26.875,  Status = ON
X1=-8.05, Y1=4.97, Z1=13.91, A1=-0.22, B1=-9.26, C1=-4.54, M1=192.00, N1=-61.50, O1=343.50 L2=26.737, I2=26.750,  Status = ON
X1=-5.00, Y1=-7.11, Z1=21.31, A1=-0.52, B1=-9.55, C1=-4.43, M1=190.50, N1=-61.50, O1=340.50 L2=26.670, I2=26.875,  Status = ON
X1=-1.13, Y1=-10.81, Z1=7.37, A1=-0.80, B1=-9.20, C1=-4.56, M1=184.50, N1=-55.50, O1=343.50 L2=26.733, I2=26.625,  Status = ON
X1=-14.21, Y1=-3.86, Z1=3.67,
